Id,inid,pid,Inward,outward,bal,owner,mod_no. ,sn,alias
591,47,19,1,0,11,2,NULL,3H04EF6PAL02484,false
603,47,57,1,0,2,2,NULL,A6FE173660943,false
667,48,28,0,8,76,2,NULL,,false
666,48,62,0,1,-1,2,NULL,,false
665,48,20,0,1,4,2,NULL,Z523P1L6,false
664,48,35,0,1,7,2,NULL,,false
661,48,56,0,1,0,2,NULL,3H0373CPBQD76ZL,false
662,48,57,0,1,1,2,NULL,A6FE174260704,false
663,48,57,0,1,0,2,NULL,A6FE173660943,false
660,48,19,0,1,14,2,NULL,3G01F81PAL00864,false
659,48,19,0,1,15,2,NULL,3H04EF6PAL02835,false
657,48,19,0,1,16,2,NULL,3H05D68PAL06677,false
618,49,20,1,0,5,2,NULL,Z523P1L6,false
619,50,61,1,0,1,2,NULL,705NTBKBD085,false
658,48,19,0,1,17,2,NULL,3H05D68PAL06654,false
656,48,19,0,1,18,2,NULL,3H04EF6PAL02257,false
655,48,19,0,1,19,2,NULL,3H04EF6PAL02484,false
654,48,19,0,1,13,2,NULL,3H05D68PAL06655,false
653,48,60,0,2,-2,2,NULL,,false
652,48,27,0,16,152,2,NULL,,false
668,48,58,0,4,-4,2,NULL,,false
766,53,63,0,1,-4,2,NULL,,false
765,53,54,0,1,1,2,NULL,,false
689,54,71,2,0,2,2,NULL,,false
688,54,73,1,0,1,2,NULL,3H0373DPBQ2HXU9,false
674,55,73,0,1,0,2,NULL,3H0373DPBQ2HXU9,false
675,55,54,0,1,0,2,NULL,,false
676,55,63,0,1,-2,2,NULL,,false
677,56,73,0,1,-1,2,NULL,3H0373DPBQ2HXU9,false
678,56,54,0,1,-1,2,NULL,,false
679,56,63,0,1,-3,2,NULL,,false
687,57,74,7,0,7,2,NULL,,false
686,57,37,25,0,63,2,NULL,,false
685,57,36,5,0,3,2,NULL,,false
690,54,72,2,0,2,2,NULL,,false
692,59,83,1,0,1,2,NULL,0A1R3PAJB16063,false
693,60,83,0,1,0,2,NULL,A1R3PAJB16063,false
707,61,85,1,0,1,2,NULL,8508646,false
706,61,85,1,0,2,2,NULL,9380231,false
705,61,85,1,0,3,2,NULL,9380306,false
704,61,85,1,0,4,2,NULL,9380211,false
703,61,85,1,0,5,2,NULL,9380302,false
702,61,85,1,0,6,2,NULL,9220096,false
701,61,85,1,0,7,2,NULL,9380235,false
708,61,86,1,0,1,2,NULL,E09116005BGB00,false
737,69,90,1,0,1,2,NULL,28118644A,false
744,68,95,5,0,6,4,NULL,,false
742,67,95,0,1,1,4,NULL,,false
743,66,95,0,2,2,4,NULL,,false
740,65,95,4,0,4,4,NULL,,false
724,63,87,1,0,1,2,NULL,70157380194,false
723,62,86,8,0,9,2,NULL,E09116005BGB00,false
736,69,18,1,0,6,2,NULL,"DPA-570,SL.NO.710095",false
754,71,57,0,1,-1,2,NULL,A6FE174260704,false
753,71,57,0,1,-2,2,NULL,A6FE173660943,false
755,72,105,10,0,10,4,NULL,yjgsdhogpf,false
1535,73,105,0,5,5,4,NULL,,false
763,77,20,0,7,-2,2,NULL,,false
760,75,20,1,0,6,2,NULL,Z523W2CG,false
762,76,20,0,1,5,2,NULL,Z523W2CG,false
764,78,20,1,0,-1,2,NULL,Z523W2CG,false
767,79,106,1,0,1,2,NULL,3E006803PAZ7D590,false
768,80,106,0,1,0,2,NULL,37D590,false
771,81,106,0,1,-1,2,NULL,3E06803PAZ7D590,false
773,82,37,0,3,60,2,NULL,,false
978,83,130,2,0,2,2,NULL,,false
977,83,129,10,0,10,2,NULL,,false
976,83,128,3,0,3,2,NULL,,false
975,83,127,2,0,2,2,NULL,,false
974,83,126,3,0,3,2,NULL,,false
973,83,125,3,0,3,2,NULL,,false
972,83,124,15,0,15,2,NULL,,false
971,83,82,47,0,47,2,NULL,,false
970,83,119,3,0,3,2,NULL,,false
969,83,107,240,0,240,2,NULL,,false
968,83,108,125,0,125,2,NULL,,false
967,83,109,40,0,40,2,NULL,,false
966,83,110,100,0,100,2,NULL,,false
965,83,55,3,0,0,2,NULL,,false
964,83,111,4,0,4,2,NULL,,false
963,83,112,6,0,6,2,NULL,,false
962,83,120,1,0,1,2,NULL,,false
961,83,114,3,0,3,2,NULL,,false
960,83,115,2,0,2,2,NULL,,false
959,83,116,24,0,24,2,NULL,,false
958,83,117,6,0,6,2,NULL,,false
957,83,118,3,0,3,2,NULL,,false
956,83,38,28,0,328,2,NULL,,false
955,83,78,26,0,26,2,NULL,,false
954,83,122,59,0,59,2,NULL,,false
953,83,121,59,0,59,2,NULL,,false
952,83,123,78,0,78,2,NULL,,false
979,83,131,1,0,1,2,NULL,,false
991,84,74,0,4,3,2,NULL,,false
989,85,55,0,1,-1,2,NULL,,false
988,85,11,0,1,-1,2,NULL,,false
987,85,12,0,1,1,2,NULL,,false
992,86,133,1,0,1,2,NULL,VAC1710095A085530,false
993,86,133,1,0,2,2,NULL,VAC1710095A086931,false
994,86,133,1,0,3,2,NULL,VAC1710095A086938,false
995,86,134,1,0,1,2,NULL,VAC1705305B24730,false
996,87,134,0,1,0,2,NULL,,false
997,87,133,0,1,2,2,NULL,,false
998,87,27,0,4,148,2,NULL,,false
999,87,55,0,2,-3,2,NULL,,false
1000,87,28,0,2,74,2,NULL,,false
1001,87,40,0,28,-28,2,NULL,,false
1002,87,82,0,5,42,2,NULL,,false
1040,88,34,0,1,9,2,NULL,,false
1039,88,65,0,1,-1,2,NULL,,false
1038,88,40,0,25,-53,2,NULL,,false
1037,88,28,0,2,72,2,NULL,,false
1036,88,55,0,2,-5,2,NULL,,false
1035,88,27,0,4,144,2,NULL,,false
1034,88,133,0,1,1,2,NULL,,false
1033,88,134,0,1,-1,2,NULL,,false
1032,88,17,0,1,0,2,NULL,3L0514APAPC4650,false
1031,88,76,0,1,-1,2,NULL,,false
1043,89,48,1,0,1,2,NULL,ZGY1PE6Q,false
1042,90,48,0,1,0,2,NULL,ZGY1PE6Q,false
1046,92,151,0,1,-1,2,NULL,2156073005371,false
1053,93,66,0,2,-2,2,NULL,,false
1052,93,67,0,2,-2,2,NULL,,false
1051,94,36,0,1,2,2,NULL,,false
1054,95,22,0,1,10,2,NULL,3D05ECDPAR00342,false
